"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"AMIXZ2KX","journalArticle","2021","B. Lang; J. Wang; M. Li; Y. Liu","Semantic-based Compound Keyword Search over Encrypted Cloud Data","IEEE Transactions on Services Computing","","1939-1374","10.1109/TSC.2018.2847318","","Keyword search over encrypted data is essential for accessing outsourced sensitive data in cloud computing. In some circumstances, the keywords that the user searches on are only semantically related to the data rather than via an exact or fuzzy match. Hence, semantic-based keyword search over encrypted cloud data becomes of paramount importance. However, existing schemes usually depend upon a global dictionary, which not only affects the accuracy of search results but also causes inefficiency in data updating. Additionally, although compound keyword search is common in practice, the existing approaches only process them as single words, which split the original semantics and achieve low accuracy. To address these limitations, we initially propose a compound concept semantic similarity (CCSS) calculation method to measure the semantic similarity between compound concepts. Next, by integrating CCSS with Locality-Sensitive Hashing function and the secure kk<; inline-graphic xlink:href=""wang-ieq1-2847318.gif""/>-Nearest Neighbor scheme, a semantic-based compound keyword search (SCKS) scheme is proposed. SCKS achieves not only semantic-based search but also multi-keyword search and ranked keyword search. Additionally, SCKS also eliminates the predefined global library and can efficiently support data update. The experimental results on real-world dataset indicate that SCKS introduces low overhead on computation and the search accuracy outperforms the existing schemes.","2021-06-01","2025-11-10 09:28:54","2025-11-10 09:28:54","","850-863","","3","14","","IEEE Transactions on Services Computing","","","","","","","","","","","","","","","","","","","Cloud computing; Semantics; Searchable encryption; Keyword search; semantic similarity; Encryption; compound concept; Compounds; Indexes; semantic-based keyword search","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VIYIPDZX","journalArticle","2021","E. Hossny; S. Khattab; F. A. Omara; H. A. Hassan","STAGER: Semantic-Based Framework for Generating Adapters of Service-Based Generic-API for Portable Cloud Applications","IEEE Transactions on Services Computing","","1939-1374","10.1109/TSC.2018.2831204","","In PaaS model, providers have different proprietary APIs, which make developers locked inside a specific platform and not able to easily port their applications among different platforms. So, vendor lock-in problem appeared. One solution to this problem is to use generic APIs with specific adapters. However, any update in a PaaS specific-API makes its corresponding adapter is unusable which causes, what we call, API synchronization problem. Therefore, STAGER (SemanTic-based GenERation of Generic-API Adapters) framework is proposed. STAGER framework provides a semi-automatic adapter generation process, which generates specific adapters of generic APIs for PaaS services (e.g., blob storage and datastore services) for target PaaS platforms. The adapter generation process is based on semantic annotations of the generic APIs and their corresponding PaaS specific-APIs. In order to evaluate STAGER framework, two generic APIs for blob storage and NoSQL datastore services have been proposed. STAGER framework is used to generate the adapters of these generic APIs for two PaaS platforms: Google App Engine (GAE) and Windows Azure. Although there is some overhead for semantically annotating the PaaS APIs, the evaluation results prove the feasibility of STAGER framework and promote the usage of the generated adapters for implementing portable cloud applications.","2021-06-01","2025-11-10 09:28:54","2025-11-10 09:28:54","","903-914","","3","14","","IEEE Transactions on Services Computing","","","","","","","","","","","","","","","","","","","Cloud computing; Semantics; Ontologies; Computer architecture; semantic annotation; Adaptation models; generic API; Java; PaaS heterogeneity; vendor lock-in; Computational modeling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5G9R6SKF","conferencePaper","2024","Yi, P.; Liang, L.; Zhang, D.; Chen, Y.; Zhu, J.; Liu, X.; Tang, K.; Chen, J.; Lin, H.; Qiu, L.; Zhou, J.","KGFabric: A Scalable Knowledge Graph Warehouse for Enterprise Data Interconnection","Proc. VLDB Endow.","21508097 (ISSN)","","10.14778/3685800.3685810","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205288024&doi=10.14778%2F3685800.3685810&partnerID=40&md5=b68286bee3d36aeeae4bf92c83b22578","Based on the diversified application scenarios at Ant Group, we built the Ant Knowledge Graph Platform (AKGP). It has constructed numerous domain-specific knowledge graphs related to merchants, companies, accounts, products, and more. AKGP manages trillions of structured knowledge graphs, serving search, recommendation, risk control and other businesses. However, as the demand increasing for various workloads such as graph pattern matching, graph representation learning, and cross-domain knowledge reuse, the existing warehouse systems based on relational DBMS or graph databases are unable to meet the requirements. To address these issues, we propose KGFabric, an industrial-scale knowledge graph management system built on the distributed file system (DFS). KGFabric offers a nearline knowledge storage engine that utilizes a Semantic-enhanced Programmable Graph (SPG) model, which is compatible with the Labeled Property Graph (LPG) model. The data is persistently stored in DFS, such as HDFS, which leverages the POSIX file system API, making it suitable for deployment in multi-cloud environment at low cost. KGFabric provides a native graph-based and hybrid storage format that can serve as a shared backend for parallel graph computing systems, significantly accelerating the analysis of multi-workload. Additionally, KGFabric includes a graph fabric framework that minimizes data duplication and guarantees data security. KGFabric is able to manage Peta-scale data and has supported graph fabric and analysis with over 100 billion relations at Ant Group. We conduct experiments on various datasets to evaluate the performance of KGFabric. Compared with popular relational DBMS and graph databases, the storage space for semantic relations is reduced by over 90%. The performance of graph fabric improves by 21X in real-world workloads. In multi-hop semantic graph analysis, KGFabric enhances performance by 100X. © 2024 Elsevier B.V., All rights reserved.","2024","2025-11-10 09:29:23","2025-11-10 09:29:23","","3841-3854","","","17","","","","","","","","VLDB Endowment","","English","","","Scopus","","","","Issue: 12 Journal Abbreviation: Proc. VLDB Endow.","","","","Knowledge graph; Knowledge graphs; Network security; Distributed database systems; Information management; Risk management; Graph model; Performance; Application scenario; Distributed file systems; Domain-specific knowledge; Enterprise data; Graph database; Labeled data; Parallel processing systems; Relational database systems; Relational DBMS; Relational graph; Virtual storage","","Fan, J.; Cao, Y.; Ding, X.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of the VLDB Endowment","","","","","","","","","","","","","","",""
"MDQC9P9M","conferencePaper","2021","Hossny, E.; Khattab, S.; Omara, F.A.; Hassan, H.A.","STAGER: Semantic-Based Framework for Generating Adapters of Service-Based Generic-API for Portable Cloud Applications","IEEE Trans. Serv. Comput.","19391374 (ISSN)","","10.1109/TSC.2018.2831204","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054609391&doi=10.1109%2FTSC.2018.2831204&partnerID=40&md5=be22f22bde8c5e429909b598c0868ab2","In PaaS model, providers have different proprietary APIs, which make developers locked inside a specific platform and not able to easily port their applications among different platforms. So, vendor lock-in problem appeared. One solution to this problem is to use generic APIs with specific adapters. However, any update in a PaaS specific-API makes its corresponding adapter is unusable which causes, what we call, API synchronization problem. Therefore, STAGER (SemanTic-based GenERation of Generic-API Adapters) framework is proposed. STAGER framework provides a semi-automatic adapter generation process, which generates specific adapters of generic APIs for PaaS services (e.g., blob storage and datastore services) for target PaaS platforms. The adapter generation process is based on semantic annotations of the generic APIs and their corresponding PaaS specific-APIs. In order to evaluate STAGER framework, two generic APIs for blob storage and NoSQL datastore services have been proposed. STAGER framework is used to generate the adapters of these generic APIs for two PaaS platforms: Google App Engine (GAE) and Windows Azure. Although there is some overhead for semantically annotating the PaaS APIs, the evaluation results prove the feasibility of STAGER framework and promote the usage of the generated adapters for implementing portable cloud applications. © 2021 Elsevier B.V., All rights reserved.","2021","2025-11-10 09:29:27","2025-11-10 09:29:27","","903-914","","","14","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","Issue: 3 Journal Abbreviation: IEEE Trans. Serv. Comput.","","","","Cloud computing; Semantics; Ontology; Platform as a Service (PaaS); Computer architecture; Semantic annotations; semantic annotation; Adaptation models; Computational model; generic API; Generic API; Java; Lock-in; Locks (fasteners); PaaS heterogeneity; Storage as a service (STaaS); vendor lock-in; Windows operating system","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IEEE Transactions on Services Computing","","","","","","","","","","","","","","",""
"EUY3G7TE","conferencePaper","2021","Lang, B.; Wang, J.; Li, M.; Liu, Y.","Semantic-based Compound Keyword Search over Encrypted Cloud Data","IEEE Trans. Serv. Comput.","19391374 (ISSN)","","10.1109/TSC.2018.2847318","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048559753&doi=10.1109%2FTSC.2018.2847318&partnerID=40&md5=023267b33787ca7f888e1fbfd184b5ec","Keyword search over encrypted data is essential for accessing outsourced sensitive data in cloud computing. In some circumstances, the keywords that the user searches on are only semantically related to the data rather than via an exact or fuzzy match. Hence, semantic-based keyword search over encrypted cloud data becomes of paramount importance. However, existing schemes usually depend upon a global dictionary, which not only affects the accuracy of search results but also causes inefficiency in data updating. Additionally, although compound keyword search is common in practice, the existing approaches only process them as single words, which split the original semantics and achieve low accuracy. To address these limitations, we initially propose a compound concept semantic similarity (CCSS) calculation method to measure the semantic similarity between compound concepts. Next, by integrating CCSS with Locality-Sensitive Hashing function and the secure $k$k-Nearest Neighbor scheme, a semantic-based compound keyword search (SCKS) scheme is proposed. SCKS achieves not only semantic-based search but also multi-keyword search and ranked keyword search. Additionally, SCKS also eliminates the predefined global library and can efficiently support data update. The experimental results on real-world dataset indicate that SCKS introduces low overhead on computation and the search accuracy outperforms the existing schemes. © 2021 Elsevier B.V., All rights reserved.","2021","2025-11-10 09:29:27","2025-11-10 09:29:27","","850-863","","","14","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","Scopus","","","","Issue: 3 Journal Abbreviation: IEEE Trans. Serv. Comput.","","","","Semantic Web; Cloud computing; Nearest neighbor search; Searchable encryptions; Semantics; Searchable encryption; Cryptography; Search engines; Keyword search; semantic similarity; Semantic similarity; compound concept; Compounds; Indexes; semantic-based keyword search","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","IEEE Transactions on Services Computing","","","","","","","","","","","","","","",""
"ADGNUSPC","journalArticle","2024","Yi, Peng; Liang, Lei; Zhang, Da; Chen, Yong; Zhu, Jinye; Liu, Xiangyu; Tang, Kun; Chen, Jialin; Lin, Hao; Qiu, Leijie; Zhou, Jun","KGFabric: A Scalable Knowledge Graph Warehouse for Enterprise Data Interconnection","Proc. VLDB Endow.","","2150-8097","10.14778/3685800.3685810","https://doi.org/10.14778/3685800.3685810","Based on the diversified application scenarios at Ant Group, we built the Ant Knowledge Graph Platform (AKGP). It has constructed numerous domain-specific knowledge graphs related to merchants, companies, accounts, products, and more. AKGP manages trillions of structured knowledge graphs, serving search, recommendation, risk control and other businesses. However, as the demand increasing for various workloads such as graph pattern matching, graph representation learning, and cross-domain knowledge reuse, the existing warehouse systems based on relational DBMS or graph databases are unable to meet the requirements. To address these issues, we propose KGFabric, an industrial-scale knowledge graph management system built on the distributed file system (DFS). KGFabric offers a nearline knowledge storage engine that utilizes a Semantic-enhanced Programmable Graph (SPG) model, which is compatible with the Labeled Property Graph (LPG) model. The data is persistently stored in DFS, such as HDFS, which leverages the POSIX file system API, making it suitable for deployment in multi-cloud environment at low cost. KGFabric provides a native graph-based and hybrid storage format that can serve as a shared backend for parallel graph computing systems, significantly accelerating the analysis of multi-workload. Additionally, KGFabric includes a graph fabric framework that minimizes data duplication and guarantees data security.KGFabric is able to manage Peta-scale data and has supported graph fabric and analysis with over 100 billion relations at Ant Group. We conduct experiments on various datasets to evaluate the performance of KGFabric. Compared with popular relational DBMS and graph databases, the storage space for semantic relations is reduced by over 90%. The performance of graph fabric improves by 21× in real-world workloads. In multi-hop semantic graph analysis, KGFabric enhances performance by 100×.","2024-08","2025-11-10 09:33:00","2025-11-10 09:33:00","","3841–3854","","12","17","","","","","","","","","","","","","","","","","Publisher: VLDB Endowment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
